cell_size,N,r,time
0.01,1000,0.01,0.0001693084021098912
0.01,1000,0.05,0.0005190833937376738
0.01,1000,0.1,0.0008150334004312753
0.01,1000,0.2,0.0011372168082743883
0.01,1000,0.5,0.0027700165985152124
0.01,10000,0.01,0.00017822460504248738
0.01,10000,0.05,0.005254149995744228
0.01,10000,0.1,0.006092908384744078
0.01,10000,0.2,0.009822874993551523
0.01,10000,0.5,0.012089975003618747
0.01,100000,0.01,0.0003123249975033104
0.01,100000,0.05,0.005098824796732515
0.01,100000,0.1,0.021788500191178173
0.01,100000,0.2,0.03309907498769462
0.01,100000,0.5,0.05868462498765439
0.01,825171,0.01,0.005102891405113041
0.01,825171,0.05,0.051366141391918065
0.01,825171,0.1,0.1482425416004844
0.01,825171,0.2,0.25931570819811894
0.01,825171,0.5,0.16032581659965217
0.05,1000,0.01,0.000938258203677833
0.05,1000,0.05,0.0014885251875966787
0.05,1000,0.1,0.0018099164008162916
0.05,1000,0.2,0.0016942163929343224
0.05,1000,0.5,0.0014849581872113048
0.05,10000,0.01,0.005036699993070215
0.05,10000,0.05,0.0029517498100176454
0.05,10000,0.1,0.005623600003309548
0.05,10000,0.2,0.011999683419708163
0.05,10000,0.5,0.005914349807426333
0.05,100000,0.01,0.0007069752085953951
0.05,100000,0.05,0.011050450394395738
0.05,100000,0.1,0.011548733408562838
0.05,100000,0.2,0.014628666592761875
0.05,100000,0.5,0.032710250013042244
0.05,825171,0.01,0.0922403168049641
0.05,825171,0.05,0.04563872480066493
0.05,825171,0.1,0.13092161660315468
0.05,825171,0.2,0.2935254747979343
0.05,825171,0.5,0.6504495336092078
0.1,1000,0.01,0.0017440498108044268
0.1,1000,0.05,0.0018038502079434694
0.1,1000,0.1,0.00031999999191612005
0.1,1000,0.2,0.0017339000129140913
0.1,1000,0.5,0.002497841592412442
0.1,10000,0.01,0.008345424791332334
0.1,10000,0.05,0.006451991607900709
0.1,10000,0.1,0.005860225029755384
0.1,10000,0.2,0.008828675001859665
0.1,10000,0.5,0.01617005841108039
0.1,100000,0.01,0.018448283383622765
0.1,100000,0.05,0.018127425189595668
0.1,100000,0.1,0.008953074982855469
0.1,100000,0.2,0.004467966803349555
0.1,100000,0.5,0.05863930860068649
0.1,825171,0.01,0.22888177519198508
0.1,825171,0.05,0.1698705332004465
0.1,825171,0.1,0.11394299999810756
0.1,825171,0.2,0.4319160251878202
0.1,825171,0.5,0.12061501662246883
0.2,1000,0.01,0.0011183501919731498
0.2,1000,0.05,0.0007427334086969495
0.2,1000,0.1,0.0015960668097250164
0.2,1000,0.2,0.0021197334164753555
0.2,1000,0.5,0.002425966807641089
0.2,10000,0.01,0.011546917003579437
0.2,10000,0.05,0.008385850011836737
0.2,10000,0.1,0.0086637751897797
0.2,10000,0.2,0.00880943340016529
0.2,10000,0.5,0.01434669978916645
0.2,100000,0.01,0.0039837502059526745
0.2,100000,0.05,0.015006383007857949
0.2,100000,0.1,0.028921341407112777
0.2,100000,0.2,0.02397749179508537
0.2,100000,0.5,0.05151212539058179
0.2,825171,0.01,0.088425125379581
0.2,825171,0.05,0.3222131079994142
0.2,825171,0.1,0.3007424915907905
0.2,825171,0.2,0.3198820497840643
0.2,825171,0.5,0.964356933394447
